State,County,TotalPop,Men,Women,VotingAgeCitizen,Income,Poverty,Pub_Transp,WorkAtHome,MeanCommute,Unemployment,Prv_Transp,Office_Jobs,NonOffice_Jobs,Mode_Severity,Mode_Weather_Condition,Day_Accidents,Total_Acc
Oregon,Clatsop,38021,18909,19112,29388,49828,4638,304,1977,19.1,2471,35739,28048,7536,3,Scattered Clouds,1.0,3
Louisiana,West Baton Rouge,25518,12631,12887,19100,60902,4567,102,204,23.8,1454,25237,17157,6906,1,Clear,12.0,21
North Carolina,Burke,88898,43908,44990,69273,40854,17157,177,2578,21.5,8267,86231,55554,25076,1,Clear,7.0,8
Georgia,Ben Hill,17272,8259,9013,12517,32344,5250,0,103,17.5,898,17151,10004,6369,3,Scattered Clouds,1.0,3
North Carolina,Randolph,142827,70344,72483,103145,43598,23852,428,3570,23.8,8712,138685,86638,47342,2,Clear,1.0,2
North Carolina,Nash,94125,45178,48947,70526,46187,14965,376,2823,21.9,7435,90924,62676,24013,1,Clear,6.0,7
North Carolina,Northampton,20426,9944,10482,16406,33508,5188,0,551,25.6,2083,19874,12876,5502,1,Clear,3.0,3
Iowa,Jefferson,17945,9511,8434,12816,44516,2727,0,1776,14.8,1202,16150,12624,4118,1,Overcast,4.0,4
Washington,Wahkiakum,4105,1985,2120,3349,49508,570,135,324,24.6,258,3645,2531,1311,2,Light Rain,2.0,2
Michigan,Calhoun,134327,65652,68675,100589,46213,23372,940,4298,20.2,9940,128953,87070,37316,1,Overcast,18.0,25
Texas,Palo Pinto,28109,13904,14205,20418,45067,5143,140,1264,23.5,2220,26703,17164,8698,3,Haze,1.0,1
North Carolina,Wilson,81379,38532,42847,58699,42095,16764,81,1383,20.7,6591,79914,53099,21763,1,Clear,1.0,2
Iowa,Hardin,17239,8634,8605,13212,52207,1379,17,655,17.9,430,16566,11581,5210,3,Light Snow,1.0,1
California,Santa Cruz,273263,135654,137609,189870,73663,40169,7651,20494,26.8,18308,245116,206003,48696,1,Overcast,97.0,124
Kentucky,Carter,27385,13462,13923,21136,35095,5887,54,712,30.3,2738,26618,17499,7147,3,Scattered Clouds,1.0,1
New York,Orange,378174,189437,188737,264798,75146,46137,20421,19286,33.4,21177,338465,286668,69971,1,Clear,41.0,69
Ohio,Mercer,40723,20484,20239,30047,57052,3013,122,936,17.5,1588,39664,23481,15654,3,Clear,2.0,4
Georgia,Morgan,18013,8558,9455,13731,59572,2413,18,1278,25.9,1026,16716,11687,5316,3,Clear,19.0,22
Kansas,Shawnee,178392,86487,91905,130844,54667,23547,1605,5173,18.0,9633,171613,132644,36283,2,Clear,14.0,14
Alabama,Lauderdale,92590,44263,48327,72887,44888,15092,185,1666,24.1,6110,90830,64168,22311,3,Scattered Clouds,2.0,2
New York,Saratoga,226632,111991,114641,174237,77548,14957,1813,13371,25.3,10425,211447,180749,35457,1,Clear,57.0,84
Mississippi,Pike,39763,18890,20873,28914,30949,12843,159,556,24.4,3061,39087,24223,12441,3,Partly Cloudy,1.0,1
Tennessee,Fayette,39336,19329,20007,30999,57919,5664,0,1691,33.1,3107,37605,26012,10216,1,Light Rain,1.0,1
Pennsylvania,Wayne,51656,27404,24252,42291,52161,5733,568,3202,29.6,3357,47885,34726,13572,1,Mostly Cloudy,1.0,5
Wyoming,Carbon,15689,8456,7233,11330,57644,2086,62,643,16.3,533,14982,10109,5046,3,Clear,8.0,12
Tennessee,Campbell,39824,19411,20413,31601,35377,8203,39,915,27.1,3185,38908,23668,12970,1,Clear,12.0,15
Virginia,Franklin,56277,27631,28646,44696,51208,8328,281,3601,30.2,3038,52393,38438,14747,1,Mostly Cloudy,7.0,8
Idaho,Oneida,4284,2136,2148,2965,43491,539,0,171,24.6,231,4116,2508,1544,2,Fair,1.0,1
Pennsylvania,Bradford,61546,30348,31198,47743,50900,7508,123,2708,22.5,3446,58714,37416,20625,3,Overcast,3.0,4
California,Inyo,18195,9172,9023,13620,51500,1855,236,818,16.9,946,17157,13264,4001,2,Clear,2.0,5
Tennessee,Madison,97887,46449,51438,74356,44496,19871,880,2838,18.6,6068,94167,70884,20934,3,Clear,7.0,9
Tennessee,Jackson,11573,5827,5746,9372,33933,2580,0,243,32.0,1076,11329,6539,3946,3,Overcast,2.0,2
Indiana,Montgomery,38288,19432,18856,28672,53075,3905,153,995,21.9,1684,37139,22914,13726,3,Clear,5.0,13
Minnesota,Benton,39360,19652,19708,28857,53574,5549,511,1613,23.1,1653,37273,26847,10859,3,Haze,1.0,1
Rhode Island,Newport,83204,40952,42252,65688,75463,7488,1580,5241,22.5,4493,76381,66904,11806,2,Clear,3.0,3
Virginia,Henry,51956,25038,26918,40672,36779,9975,311,1194,23.6,4520,50449,33015,14420,3,Clear,11.0,19
Alabama,Coosa,10955,5474,5481,8989,34792,1577,65,460,29.8,1237,10429,6268,3440,2,Clear,1.0,1
Ohio,Fairfield,151526,75440,76086,112986,63424,15001,606,5909,28.3,7727,145161,113026,30772,3,Clear,28.0,42
Oregon,Lincoln,47307,22779,24528,37758,43291,8704,614,3216,18.9,3074,43475,35076,9156,1,Clear,4.0,4
North Carolina,Polk,20434,9782,10652,16565,48412,2227,163,980,25.7,1287,19289,15011,4154,1,Clear,4.0,4
Vermont,Chittenden,160985,78928,82057,125467,66906,18191,4185,8693,21.1,6600,147945,130918,23312,1,Light Snow,7.0,9
Minnesota,Anoka,344861,172482,172379,251328,76796,22760,11725,15518,28.1,14484,317272,253399,76647,1,Overcast,64.0,90
Indiana,Jackson,43779,21861,21918,31621,49080,6829,175,831,20.5,2714,42772,27226,13838,3,Overcast,9.0,12
Texas,Chambers,39283,19679,19604,25703,74368,5067,78,824,27.8,2553,38379,23984,12745,3,Overcast,4.0,4
Illinois,Will,687727,341719,346008,472786,80782,50891,26133,28884,32.9,41263,632708,501009,146100,1,Clear,73.0,93
Missouri,Washington,24968,12855,12113,19149,37810,5043,124,823,33.3,2471,24019,13858,8661,2,Overcast,1.0,1
Tennessee,Hickman,24502,12830,11672,18999,39333,4826,73,1078,36.3,1519,23350,14433,8572,1,Overcast,4.0,4
Virginia,Albemarle,105105,50283,54822,78224,72265,10300,1891,7987,21.9,3363,95330,89736,12005,1,Clear,32.0,40
Louisiana,Pointe Coupee,22271,10692,11579,16980,43964,3897,200,601,29.1,1848,21491,14357,6045,3,Scattered Clouds,1.0,2
Tennessee,Rutherford,298456,147195,151261,212507,62149,35217,895,11639,28.5,15221,286219,216391,66843,1,Clear,49.0,69
Texas,Bastrop,80306,40845,39461,53287,59185,10680,160,3131,34.4,6183,77013,52775,21347,3,Clear,5.0,6
California,Mendocino,87497,43668,43829,61818,46528,16711,262,7087,19.8,9099,80147,60444,17953,1,Clear,7.0,10
Connecticut,New Haven,862127,415863,446264,636398,64872,104317,35347,36209,24.9,66383,790570,656488,138459,1,Clear,240.0,313
Colorado,Montrose,40908,20182,20726,30265,44865,7281,122,1922,17.8,3272,38821,27399,10236,1,Clear,1.0,1
Louisiana,Ascension,119129,58718,60411,84202,74748,13938,119,4288,30.0,7505,114840,84610,26901,1,Fair,14.0,19
Virginia,Shenandoah,42854,20850,22004,32507,53934,4413,128,1885,31.0,2228,40797,28397,12228,1,Clear,20.0,22
Texas,La Salle,7418,4347,3071,5387,44601,608,0,237,19.5,400,7173,4470,2554,3,Mostly Cloudy,5.0,7
Colorado,El Paso,674826,340118,334708,486507,62535,74905,5398,42514,23.0,45888,625563,522647,105661,1,Clear,125.0,146
Virginia,Greensville,11606,7238,4368,9459,42121,1973,81,104,22.9,661,11431,7595,3338,1,Clear,1.0,3
Minnesota,Hennepin,1224763,604629,620134,877093,71154,140847,90632,68586,23.4,56339,1064319,1009518,158905,1,Clear,705.0,950
Mississippi,Hancock,46277,22527,23750,35715,47518,7959,92,1203,29.0,4026,44981,32026,10266,1,Clear,3.0,4
Colorado,Eagle,53726,28560,25166,34723,83803,4136,2901,4781,22.3,1450,45935,41873,10455,3,Light Snow,28.0,47
New Jersey,Cape May,94549,46158,48391,75563,62332,10022,1985,4254,22.9,7942,88214,71104,15416,1,Clear,14.0,24
Colorado,Rio Blanco,6557,3325,3232,4863,57991,773,72,458,17.3,413,6025,3846,2304,1,Clear,7.0,7
Montana,Missoula,114231,57590,56641,90740,49412,18162,2398,6739,18.1,6853,105092,88908,18469,1,Light Snow,3.0,4
Florida,Pinellas,949842,456017,493825,746969,48968,130128,17097,63639,24.4,60789,869105,747693,140470,1,Clear,341.0,396
Pennsylvania,Bedford,48891,24404,24487,38863,48703,6649,195,2248,27.2,2884,46397,29996,16010,3,Clear,13.0,15
California,San Francisco,864263,440633,423630,641255,96265,101118,293849,57905,32.8,46670,512507,744009,73583,1,Partly Cloudy,286.0,361
Alabama,Tuscaloosa,204424,98725,105699,156404,50513,35365,1022,6337,22.3,13696,197473,141520,49398,1,Mostly Cloudy,13.0,14
Iowa,Hamilton,15201,7433,7768,11467,55836,1428,0,805,18.4,349,14410,10218,4618,1,Light Freezing Rain,7.0,7
Indiana,Hamilton,309687,151395,158292,212065,90582,15484,619,24465,25.5,10219,284602,266825,32941,1,Clear,48.0,61
Washington,Island,80323,40020,40303,63369,61516,7630,2088,5702,27.8,5381,72611,56806,18135,1,Mostly Cloudy,13.0,13
Mississippi,Montgomery,10309,4769,5540,7849,34983,2639,0,247,27.1,938,10051,6362,2998,3,Overcast,1.0,1
Florida,Duval,912043,442115,469928,666437,51296,145926,17328,43778,24.5,67491,851848,692532,152863,1,Mostly Cloudy,421.0,565
Pennsylvania,Schuylkill,144287,73691,70596,114513,47642,18035,1010,3751,25.7,9955,139525,89599,44732,1,Clear,10.0,10
Kentucky,Boone,127682,63122,64560,90254,72731,9703,1021,5618,24.0,6256,120914,97626,23678,1,Mostly Cloudy,29.0,32
Wisconsin,Clark,34513,17507,17006,23756,49131,4555,0,3968,21.1,1138,30578,19924,13450,3,Clear,4.0,7
Minnesota,Kandiyohi,42577,21398,21179,30521,56604,4811,340,1788,17.9,1277,40448,29446,11853,1,Clear,5.0,11
Virginia,Cumberland,9797,4830,4967,7791,43020,2135,19,480,40.7,685,9297,6269,2842,1,Mostly Cloudy,1.0,1
Kentucky,Whitley,36027,17686,18341,27075,34103,9078,216,720,20.6,3314,35090,24371,8341,1,Mostly Cloudy,1.0,1
Colorado,Mineral,834,433,401,752,50385,100,9,99,14.0,13,726,646,174,3,Clear,5.0,6
Oklahoma,Osage,47350,23748,23602,36217,47683,7433,236,1278,24.4,2888,45834,31701,12805,1,Mostly Cloudy,2.0,2
Georgia,Jackson,63851,31539,32312,45830,57999,7981,127,2745,30.8,4150,60977,43701,15999,1,Clear,15.0,25
Georgia,Bacon,11279,5599,5680,7903,38824,2616,135,236,20.4,349,10918,7115,3803,1,Overcast,3.0,3
Maine,Somerset,50994,25180,25814,40507,41549,9076,50,2141,24.4,4487,48852,31950,14603,1,Clear,3.0,5
Idaho,Payette,22839,11451,11388,15793,48447,3540,22,685,19.1,1393,22108,14132,7313,3,Clear,6.0,6
Illinois,Effingham,34164,17021,17143,25756,54655,3860,170,1161,17.3,1503,32865,22862,9798,3,Clear,3.0,3
Indiana,Marion,939964,452538,487426,653701,44869,186112,17859,30078,23.3,75197,892025,671059,193707,1,Clear,358.0,468
North Carolina,Davie,41766,20394,21372,31612,53493,5847,167,1461,26.3,2714,40178,28625,10426,1,Clear,13.0,17
New York,Yates,25083,12069,13014,19160,51758,3285,75,2508,22.5,1504,22499,16741,6837,1,Light Rain,0.0,1
Minnesota,Becker,33552,16672,16880,24981,55884,4261,167,2415,22.4,1207,30968,22415,9897,1,Clear,1.0,2
West Virginia,Pendleton,7138,3583,3555,5834,39554,1334,21,606,32.1,356,6516,4014,2760,3,Clear,3.0,4
Texas,Lubbock,298042,147080,150962,216218,49078,56031,2682,7451,17.3,14306,287908,227556,55895,2,Scattered Clouds,1.0,1
Texas,Hill,35098,17374,17724,25134,45970,6142,0,1614,28.5,2842,33448,21837,10418,1,Clear,4.0,5
Arkansas,Scott,10584,5290,5294,7841,37396,2169,21,508,19.7,1121,10054,5516,3946,3,Clear,2.0,4
Texas,Yoakum,8481,4286,4195,4432,62500,1043,0,110,16.2,636,8370,4542,3310,3,Clear,1.0,1
Iowa,Delaware,17326,8659,8667,13057,60534,1593,34,1386,22.6,433,15905,10980,5912,3,Clear,1.0,5
Oregon,Wasco,25687,12804,12883,18539,48510,3519,154,2029,17.6,1669,23503,17581,6436,3,Clear,6.0,6
Georgia,Chattooga,24880,12730,12150,18729,35718,5598,124,422,25.2,2363,24357,12879,9637,3,Clear,2.0,7
Missouri,Montgomery,11618,5798,5820,8907,43094,1870,58,360,25.8,673,11188,7048,3896,1,Clear,3.0,5
California,Yolo,212605,103617,108988,142947,61621,41245,8291,10630,23.2,15307,193683,161192,36105,1,Clear,77.0,98
Iowa,Lee,34785,17553,17232,27128,48266,5669,173,1078,17.5,2643,33532,20892,11249,2,Overcast,4.0,4
Washington,Pierce,845193,420170,425023,610627,63881,103113,29581,38033,31.2,58318,777577,598811,187276,1,Clear,284.0,382
Michigan,Osceola,23221,11725,11496,17762,41099,4806,162,1091,25.2,1671,21967,13080,8469,3,Light Drizzle,1.0,2
Wisconsin,Marquette,15164,7699,7465,12067,49052,1789,106,621,30.0,834,14436,8784,5545,1,Overcast,1.0,3
Montana,Flathead,96147,47965,48182,74055,51410,13075,769,5576,19.1,3845,89897,72364,19937,1,Clear,4.0,7
Tennessee,Washington,126437,61427,65010,98962,44180,20862,758,4804,20.8,6701,121000,96746,23109,1,Scattered Clouds,4.0,4
Pennsylvania,Mercer,113623,55992,57631,90091,47340,15566,340,5567,20.8,6590,107600,79846,27293,1,Clear,8.0,20
Texas,Ward,11498,5790,5708,7730,63333,1333,0,471,21.7,701,11026,6726,4081,3,Clear,3.0,3
New York,Broome,196124,96409,99715,152197,49064,33537,6079,6079,19.7,14120,183964,148697,33306,1,Clear,27.0,29
Wyoming,Natrona,81023,41061,39962,60197,59400,8021,324,2916,17.2,4132,77782,55515,21375,1,Clear,6.0,6
Tennessee,Marshall,31753,15700,16053,23747,46837,4286,31,698,30.1,2063,30990,18734,10955,1,Scattered Clouds,1.0,1
Louisiana,Calcasieu,198753,96906,101847,146328,48219,33390,596,4173,20.5,13117,193982,137741,47894,1,Overcast,19.0,25
Tennessee,Dickson,51341,25100,26241,38651,47398,7444,308,1694,31.7,2413,49287,34053,14923,1,Overcast,5.0,5
Missouri,Saline,23010,11372,11638,16886,41567,3980,184,736,16.5,1058,22089,15037,6914,1,Clear,12.0,12
Georgia,Paulding,152399,74560,77839,107261,63669,14782,761,8839,37.7,7924,142950,111679,32940,3,Clear,4.0,4
Connecticut,Hartford,897417,435729,461688,649810,69936,100510,29614,35896,23.0,66408,831905,694723,137116,1,Clear,329.0,434
Pennsylvania,Sullivan,6192,3234,2958,5382,45519,811,6,458,31.5,544,5727,3456,2197,3,Light Snow,2.0,2
Oregon,Marion,330453,164623,165830,220420,53828,52542,6278,15200,23.2,22470,308973,226675,81307,1,Clear,34.0,43
Tennessee,Unicoi,17830,8880,8950,14120,36576,3583,142,802,20.4,1925,16902,10497,5407,3,Overcast,0.0,1
Vermont,Washington,58691,28997,29694,46565,60602,6925,645,4225,22.9,2288,53760,46532,9870,1,Clear,10.0,11
Michigan,Montcalm,62956,32441,30515,48157,44651,11017,251,2455,30.0,4406,60248,37413,21136,3,Clear,5.0,9
Georgia,Troup,69433,33345,36088,50332,43597,14789,138,1180,23.2,6179,68113,41684,21569,3,Clear,15.0,20
Colorado,Morgan,28123,13997,14126,18095,51456,2615,56,1068,17.6,1265,26998,16813,10071,1,Clear,2.0,3
Idaho,Benewah,9050,4568,4482,6951,43472,1429,63,380,20.8,868,8606,5081,3100,3,Light Rain,5.0,5
Ohio,Butler,375702,184149,191553,275267,62188,48465,2254,15779,24.4,20287,357668,282199,73570,1,Clear,19.0,21
Wisconsin,Polk,43328,21809,21519,33749,53551,4289,43,2253,29.1,2079,41074,27059,14189,3,Clear,2.0,2
Mississippi,George,23545,11894,11651,17092,47640,3461,306,682,35.4,1930,22556,14028,7586,1,Scattered Clouds,1.0,1
New York,Putnam,99464,49485,49979,73842,99608,4774,8454,5271,39.2,5271,85837,78462,15636,1,Clear,36.0,45
Texas,Navarro,48239,23726,24513,31446,45103,9068,192,2074,25.3,4534,46020,29894,13767,2,Clear,2.0,3
Alabama,Baldwin,203360,99527,103833,155376,52562,23996,203,11388,27.0,11184,191565,152779,39396,1,Partly Cloudy,5.0,5
Wisconsin,Price,13566,6898,6668,11059,45680,1614,13,678,19.2,393,12874,8075,5084,1,Scattered Clouds,8.0,8
Tennessee,White,26394,12929,13465,20402,37654,4645,0,554,24.0,2454,25866,15800,8139,3,Clear,3.0,3
Oklahoma,Grady,54351,27146,27205,40537,55527,6739,54,1793,25.9,2065,52503,36966,15372,3,Clear,3.0,4
Iowa,Osceola,6149,3099,3050,4509,53604,700,12,319,19.1,104,5816,3929,2115,1,Clear,1.0,1
Pennsylvania,Luzerne,318222,156922,161300,246670,49290,48369,3500,10501,22.1,22275,304220,221072,74578,3,Light Snow,22.0,28
Oklahoma,Noble,11421,5599,5822,8668,52372,1324,91,479,20.5,559,10849,7625,3236,1,Clear,1.0,1
Colorado,Otero,18325,8957,9368,13236,35051,4196,18,952,16.2,1704,17390,12598,4038,3,Clear,1.0,1
Virginia,Montgomery,97692,50448,47244,77245,53424,23250,4786,4005,18.7,4200,88802,81057,12434,1,Clear,18.0,24
South Carolina,Dillon,31073,14568,16505,22716,30866,9508,0,1149,23.7,2827,29954,18501,9716,1,Clear,6.0,10
Illinois,White,14186,6957,7229,10948,46279,1971,85,425,24.8,1163,13689,8517,4492,3,Overcast,3.0,3
Arkansas,Jefferson,71373,35154,36219,54374,37630,17629,142,1498,20.9,7137,69660,45414,18821,3,Partly Cloudy,0.0,2
New York,Warren,64701,31717,32984,51635,60222,6405,582,2199,22.8,3105,61918,49646,11888,1,Clear,13.0,15
Tennessee,Scott,21949,10831,11118,16608,31875,5750,21,614,28.3,2063,21290,11434,8471,2,Mostly Cloudy,10.0,10
Iowa,Linn,220008,108534,111474,163168,62702,20900,1540,7040,18.8,8360,211207,165508,45927,1,Overcast,47.0,53
Nevada,Mineral,4471,2165,2306,3392,39375,907,0,371,13.1,921,4099,2406,1143,2,Clear,3.0,3
Washington,Mason,61569,31695,29874,47524,53087,9974,1416,3263,32.1,5110,56951,39860,16542,3,Overcast,25.0,27
Texas,Atascosa,48139,24051,24088,33109,55194,7028,48,2840,30.8,2936,45250,30105,15097,2,Mostly Cloudy,3.0,3
Texas,Kimble,4432,2140,2292,3485,41095,979,0,150,20.6,283,4281,3016,1132,2,Clear,1.0,1
Kentucky,Jefferson,764378,369391,394987,565101,52237,114656,20638,29810,22.2,48920,713929,554479,160978,1,Overcast,119.0,142
Minnesota,Douglas,36891,18510,18381,28915,58667,3098,184,2471,17.7,1143,34271,26453,9294,1,Clear,2.0,4
California,Lassen,31470,20786,10684,25121,54083,4594,220,1825,20.9,2360,29455,22764,6375,3,Mostly Cloudy,0.0,5
Illinois,Whiteside,56823,27990,28833,43198,51969,6307,227,1591,19.4,3409,55061,36695,16665,2,Clear,1.0,1
Ohio,Wood,129504,63767,65737,100744,58033,17353,388,3885,20.1,7122,125230,93377,29004,3,Clear,39.0,48
Virginia,James City,73028,35265,37763,56500,80772,5477,584,4600,25.0,3578,67843,60004,9445,1,Clear,5.0,7
Virginia,Powhatan,28364,15185,13179,22692,80441,1560,0,2240,31.8,1134,26151,21130,6099,1,Clear,4.0,4
Kentucky,Barren,43418,21123,22295,32469,39658,9942,86,2214,20.7,3299,41116,25916,14202,3,Clear,4.0,4
Georgia,Putnam,21430,10410,11020,16386,48340,3471,42,1050,25.0,1392,20337,14126,5931,3,Clear,1.0,3
Florida,Orange,1290216,633835,656381,878929,51586,215466,34835,68381,27.6,87734,1186998,1004072,198409,1,Clear,1036.0,1283
Michigan,Mackinac,10836,5474,5362,8849,42559,1668,260,736,20.7,1137,9849,7196,2502,3,Overcast,2.0,2
Georgia,Dodge,21063,11024,10039,16512,35290,4675,147,463,26.0,1895,20452,13743,5424,3,Clear,1.0,1
Virginia,Floyd,15594,7842,7752,12273,48396,1871,93,1013,31.6,857,14486,9637,5113,3,Clear,0.0,1
Kentucky,Adair,19304,9632,9672,15280,36575,4150,0,656,22.2,1196,18647,11607,6518,3,Clear,1.0,1
Minnesota,McLeod,35816,17850,17966,26790,59869,3008,107,1181,22.5,1074,34526,23555,11152,3,Clear,1.0,1
Indiana,Fountain,16620,8272,8348,12781,46669,2094,83,548,25.4,1047,15971,8938,6634,3,Clear,2.0,3
